pesticide,crop
Bifenthrin 03 % + Chlorpyriphos 30 % w/w EC,Paddy (Rice)
Bifenthrin 10 % EC,Cotton
Bifenthrin 10 % EC,Rice (Paddy)
Bifenthrin 10 % EC,Sugarcane
Bifenthrin 25% + Thiamethoxam 25% WG,Chilli
Bifenthrin 25% + Thiamethoxam 25% WG,Cotton
Bifenthrin 25% + Thiamethoxam 25% WG,Soybean
Bifenthrin 32 % + Chlorantraniliprole 12% WG,Soybean
Bifenthrin 32 % + Chlorantraniliprole 12% WG,Sugarcane
Bifenthrin 8% + Clothianidin 10% SC,Cotton
Bifenthrin 8% + Clothianidin 10% SC,Ground nut
Bifenthrin 8% + Clothianidin 10% SC,Paddy (Rice)
Bifenthrin 8% + Clothianidin 10% SC,Sugarcane
Bispyribac Sodium 0.25% + Penoxsulam 0.25% + Pyrazosulfuron Ethyl 0.20% GR,Transplanted rice
Bispyribac Sodium 20% + Pyrazosulfuron Ethyl 15% WDG,Rice
Bispyribac Sodium 38% + Chlorimuron ethyl 2.5%+ Metsulfuron Methyl 2.5% (w/w) WG,(Transplanted)
Bispyribac Sodium 38% + Chlorimuron ethyl 2.5%+ Metsulfuron Methyl 2.5% (w/w) WG,Rice
Bispyribac Sodium 38% + Chlorimuron ethyl 2.5%+ Metsulfuron Methyl 2.5% (w/w) WG,Rice (Direct
Bispyribac Sodium 38% + Chlorimuron ethyl 2.5%+ Metsulfuron Methyl 2.5% (w/w) WG,Seeded)
Bispyribac Sodium 7.6 % + Fenoxaprop-p-ethyl 11.4 % w/w WG,Rice
Bispyribac Sodium 7.6 % + Fenoxaprop-p-ethyl 11.4 % w/w WG,Transplanted
Bispyribac Sodium 9.5% + Penoxsulam 7.8% w/v SC,(Transplanted
Bispyribac Sodium 9.5% + Penoxsulam 7.8% w/v SC,Paddy
Bispyribac Sodium 9.5% + Penoxsulam 7.8% w/v SC,rice)
"Bispyribac sodium 2% + 2,4-D sodium salt 54.3% w/w SP",Direct Seeded
"Bispyribac sodium 2% + 2,4-D sodium salt 54.3% w/w SP",Rice
"Bispyribac sodium 2% + 2,4-D sodium salt 54.3% w/w SP",Transplanted
Bispyribac-Sodium 15% + Metsulfuron-methyl 2.4% + Chlorimuron ethyl 3.6% OD,Rice
Bispyribac-Sodium 15% + Metsulfuron-methyl 2.4% + Chlorimuron ethyl 3.6% OD,Transplanted
Bixlozone 4% GR,(transplanted)
Bixlozone 4% GR,Rice
Bixlozone 4% GR,Soybean
Bixlozone 4% GR,Transplanted
Bixlozone 50% + Metribuzin 10% WG,Wheat
Boscalid 25.2%+Pyraclostrobin12.8%WG,(Seed
Boscalid 25.2%+Pyraclostrobin12.8%WG,Apple
Boscalid 25.2%+Pyraclostrobin12.8%WG,Bengal
Boscalid 25.2%+Pyraclostrobin12.8%WG,Black gram
Boscalid 25.2%+Pyraclostrobin12.8%WG,Chilli
Boscalid 25.2%+Pyraclostrobin12.8%WG,Cotton
Boscalid 25.2%+Pyraclostrobin12.8%WG,Cumin
Boscalid 25.2%+Pyraclostrobin12.8%WG,Grape
Boscalid 25.2%+Pyraclostrobin12.8%WG,Groundnut
Boscalid 25.2%+Pyraclostrobin12.8%WG,Maize
Boscalid 25.2%+Pyraclostrobin12.8%WG,Mango
Boscalid 25.2%+Pyraclostrobin12.8%WG,Onion
Boscalid 25.2%+Pyraclostrobin12.8%WG,Paddy (Rice)
Boscalid 25.2%+Pyraclostrobin12.8%WG,Pea
Boscalid 25.2%+Pyraclostrobin12.8%WG,Pigeon pea
Boscalid 25.2%+Pyraclostrobin12.8%WG,Pomegranate
Boscalid 25.2%+Pyraclostrobin12.8%WG,Potato
Boscalid 25.2%+Pyraclostrobin12.8%WG,Rice
Boscalid 25.2%+Pyraclostrobin12.8%WG,Soybean
Boscalid 25.2%+Pyraclostrobin12.8%WG,Tea
Boscalid 25.2%+Pyraclostrobin12.8%WG,Tomato
Boscalid 25.2%+Pyraclostrobin12.8%WG,Treatment)
Boscalid 25.2%+Pyraclostrobin12.8%WG,Wheat
Boscalid 25.2%+Pyraclostrobin12.8%WG,gram
Brodifacoum 0.005 %w/w BB,(Bandoicota bengalensis; B.
